Name,Latitude,Longitude,Thumb,Full,EASTING,NORTHING,Type
Lower Hore,,,,,284456.469565,287255.481522,Sample Point
Lower Hafren,52.475240,-3.704986,https://github.com/danor62/Plynlimon_Photos/blob/master/Hafren_thumb.jpg?raw=true,https://github.com/danor62/Plynlimon_Photos/blob/master/Hafren_full.JPG?raw=true,284285.739464,287754.483130,Sample Point
Upper Hore,,,,,283050.915183,286964.634401,Sample Point
Upper Hafren,,,,,282838.095022,289176.395405,Sample Point
Afon Cyff,,,,,282308.384266,284190.877236,Sample Point
Afon Gwy,,,,,282395.353356,285387.284425,Sample Point
Rainfall,,,,,282866.000000,288588.000000,Sample Point
Lower Hore,,,,,284512.000000,287260.000000,Flume Hut
Lower Hafren,,,,,284293.000000,287732.000000,Flume Hut
Upper Hore,,,,,283086.613204,286943.188286,Flume Hut
Upper Hafren,,,,,282826.747940,289095.695325,Flume Hut
Afon Cyff,,,,,282418.000000,284167.000000,Flume Hut
Afon Gwy,,,,,282424.000000,285372.000000,Flume Hut
Tanllwyth,,,,,284234.000000,287654.000000,Flume Hut
Severn Trapizoidal,,,,,285263.000000,287194.000000,Flume Hut
Cefn Brwyn,,,,,282919.000000,283689.000000,Flume Hut
Iago,,,,,282530.000000,285400.000000,Flume Hut
Sonde,,,,,284297.000000,287745.000000,Sonde
Carreg wen,,,,,282836.462535,288606.859919,AWS
Gwy,,,,,282403.219964,285414.256287,AWS
Eisteddfa Gurig,,,,,280319.238760,285394.668783,AWS
Mid Tan,,,,,283749.290704,287417.283888,AWS
